Order;Warm-up;Day;Exercise;Muscle Group;Sets;Reps;Video url
1;Warm-up;Monday;Spartakiáda;Full Body;2;10 úskokov do každej strany;https://youtu.be/p75NmUtH9so?si=VlqT7f5pvhw4c8FP
1;Warm-up;Monday;Pendulum;Full Body;2;10 švihov každá noha;https://youtu.be/RN2qWm0f3eM?si=sUWsg3X4T8AtD6EP
1;Warm-up;Monday;Mostík;Glutes;3;Vydržať pozícií 10 pomalých ná/výdychov;https://youtu.be/-KKADnBsPzw?si=dR1I8N2tzoVhmcoH
1;;Monday;Drepy;Glutes;3;15 opakovaní;https://youtu.be/42bFodPahBU?si=7oDbPxu86BIQTFZF
1;;Monday;Loki Pose;Glutes;3;15 zdvihov každá noha;https://youtu.be/7LnuhLi-78I?si=byguogJQZwQlRnCC
1;;Monday;Stabilizovaná poloha;Glutes;3;15 zdvihov každá noha;https://youtu.be/rrs0mzQSMQI?si=c9gHUJr-HztbdHOd
1;;Monday;Zakopávanie;Glutes;3;15 zdvihov každá noha;https://youtu.be/D4gxkgZQkAg?si=AcJ1gFHcNBnVh15L
2;Warm-up;Tuesday;Ramená;Shoulders;2;2 pomalé ná/výdychy;https://youtu.be/9k0EN2RCGgU?si=ipduILEpyrbdEnV2
2;Warm-up;Tuesday;Plank;Core,Shoulders;2;Vydržať 30 sekúnd;https://youtu.be/Fcbw82ykBvY?si=3sls-fR-e6I_R47S
2;Warm-up;Tuesday;Horolezec;Body;2;15 každá noha;https://youtu.be/wQq3ybaLZeA?si=LVIR62TZEVpIdCA5
2;;Tuesday;Mŕtvy chrobák;Abdominals;3;10 každá strana;https://youtu.be/bXMQkRowNk8?si=3ZZ_84EWaO3LWr6e
2;;Tuesday;Zdravé brušáky;Abdominals;3;15 opakovaní;https://youtu.be/Qz3ylqqJ90M?si=WRr4TPbiWqCWN8Cs
2;;Tuesday;Naťahovanie sa za Pätami;Abdominals;3;20 každá päta;https://youtu.be/9bR-elyolBQ?si=9u1FnXp7XfU7TA-f
2;;Tuesday;Pílenie dreva;Core;3;15 opakovaní;https://youtu.be/CJHdCRhZCwY?si=kj1_ziE_IVa9PWKb
3;Warm-up;Wednesday;Ramená;Shoulders;2;2 pomalé ná/výdychy;https://youtu.be/9k0EN2RCGgU?si=ipduILEpyrbdEnV2
3;Warm-up;Wednesday;Kobra;Core & Spine;3;2 pomalé ná/výdychy;https://youtu.be/z21McHHOpAg?si=9wnOjmVSDVK5bbWK
3;Warm-up;Wednesday;Mám dosť;Core & Spine;2;10 pomalé ná/výdychy;https://youtu.be/ZI-j_POtzlU?si=mjedJYMdsFyN9K9x
3;;Wednesday;T Pose;Hamstrings & Groin,Back;3;10 pomalé ná/výdychy;https://youtu.be/qOYy5m3rr1s?si=-vv6YqV5IUYEBnhZ
3;;Wednesday;T Plank;Full Body;3;5 každá strana;https://youtu.be/rTY5mqJ1HNo?si=JL9P0Va23OVzKwJ5
3;;Wednesday;Plávanie;Back;3;10 opakovaní;https://youtu.be/GvyCtKvmaVE?si=kM8Mo3IVK1HROuav
3;;Wednesday;Superman;Back;3;5 opakovaní;https://youtu.be/pGeaBXLwDtw?si=oBgUN2M909SkP6_r
5;Warm-up;Friday;Ramená;Shoulders;2;2 pomalé ná/výdychy;https://youtu.be/9k0EN2RCGgU?si=ipduILEpyrbdEnV2
5;Warm-up;Friday;Box;Full Body;2;20 každá ruka;https://youtu.be/wiyvVpEKOsc?si=nUJCsWud6A5cPq_w
5;Warm-up;Friday;Horolezec;Full Body;2;20 opakovaní;https://youtu.be/wQq3ybaLZeA?si=LVIR62TZEVpIdCA5
5;;Friday;Kliky;Full Body;3;10 opakovaní;https://youtu.be/jWxvty2KROs?si=_aVnbPfwDvKa2Voh
5;;Friday;Ovládač pod stolom;Triceps;3;10 opakovaní;https://youtu.be/JhX1nBnirNw?si=klAXUz0dmK41qOyV
5;;Friday;Zdvih 2x1l pepsi v predklone;Back;3;10 opakovaní;https://youtu.be/65gMtswVB1c?si=xUheBV_Uj27dF4Fp
5;;Friday;Crawl;Full Body;3;9 dopredu 9 dozadu;https://youtu.be/M_uNXxdI018?si=CzyOwpATWpd69u4q
4;Warm-up;Thursday;Skok bez švihadlo;Full Body;2;30s;https://youtu.be/CYGeazlNbU4?si=ixoAg12bU3g7njYE
4;Warm-up;Thursday;Wrist & Ankles;Full Body;2;Nech sa rozhýbu;https://youtu.be/oVyhNRtXIio?si=Y6xmhjW1bbcpDdnE
4;Warm-up;Thursday;Mostík;Glutes;3;10 pomalých ná/výdychov;https://youtu.be/-KKADnBsPzw?si=dR1I8N2tzoVhmcoH
4;;Thursday;Vybíjaná;Glutes;3;5 výhybov do každej strany;https://youtu.be/tlUg1DXhHm8?si=ALTgFNzv3yuAw8x4
4;;Thursday;Froggy glutes;Glutes;3;5 zdvihov;https://youtu.be/wl10q6aqy-4?si=CwmunUCwKXs4VA-K
4;;Thursday;Medveď;Glutes;3;10 zdvihov;https://youtu.be/Hcy81KUTIZ8?si=qghwtdhMxrC-9pHs
4;;Thursday;Zakopávanie s krýžením;Glutes;3;10 zdvihov každá noha;https://youtu.be/e25jpcjeyAQ?si=eOeM2bMRgYISWixg
